t_s,vdc_v,idc_a,i_gen_a,i_load_a,i_fault_a,v_pos_gnd_v,v_neg_gnd_v
0,1500,0,0,0,0,750,-750
5e-05,1499.9999919094,3.6303074034813,6.29387970402859,3.6303074034813,0,749.999995954698,-749.999995954698
0.0001,1499.99996901942,7.25456933391709,12.572045094557,7.25456933391709,0,749.999984509712,-749.999984509712
0.00015,1499.99993338995,10.8727958587039,18.8345355046122,10.8727958587039,0,749.999966694976,-749.999966694976
0.0002,1499.99988706369,14.4849970284734,25.0813901547018,14.4849970284734,0,749.999943531846,-749.999943531846
0.00025,1499.99983206626,18.09118287712,31.3126481532102,18.09118287712,0,749.999916033132,-749.999916033132
0.0003,1499.99977040624,21.6913634218289,37.5283484967928,21.6913634218289,0,749.99988520312,-749.99988520312
0.00035,1499.9997040752,25.2855486631039,43.7285300707685,25.2855486631039,0,749.999852037601,-749.999852037601
0.0004,1499.9996350478,28.8737485847953,49.9132316495116,28.8737485847953,0,749.9998175239,-749.9998175239
0.00045,1499.9995652818,32.4559731541274,56.0824918968421,32.4559731541274,0,749.9997826409,-749.9997826409
0.0005,1499.99949671814,36.0322323217262,62.2363493664148,36.0322323217262,0,749.999748359071,-749.999748359071
0.00055,1499.99943128099,39.6025360216473,68.3748425021065,39.6025360216473,0,749.999715640497,-749.999715640497
0.0006,1499.99937087781,43.1668941714034,74.498009638403,43.1668941714034,0,749.999685438903,-749.999685438903
0.00065,1499.99931739937,46.7253166719914,80.6058890007836,46.7253166719914,0,749.999658699683,-749.999658699683
0.0007,1499.99927271985,50.2778134079208,86.6985187061053,50.2778134079208,0,749.999636359925,-749.999636359925
0.00075,1499.99923869689,53.8243942472402,92.7759367629849,53.8243942472402,0,749.999619348443,-749.999619348443
0.0008,1499.9992171716,57.3650690415653,98.8381810721805,57.3650690415653,0,749.999608585799,-749.999608585799
0.00085,1499.99920996867,60.8998476261063,104.885289426971,60.8998476261063,0,749.999604984336,-749.999604984336
0.0009,1499.9992188964,64.4287398196947,110.917299513535,64.4287398196947,0,749.9996094482,-749.9996094482
0.00095,1499.99924574675,67.9517554248113,116.934248911328,67.9517554248113,0,749.999622873373,-749.999622873373
0.001,1499.99929229539,71.4689042276126,122.936175093457,71.4689042276126,0,749.999646147697,-749.999646147697
0.00105,1499.9993603018,74.9801959979587,128.92311542706,74.9801959979587,0,749.999680150902,-749.999680150902
0.0011,1499.99945150927,78.4856404894402,134.895107173672,78.4856404894402,0,749.999725754636,-749.999725754636
0.00115,1499.99956764498,81.9852474394051,140.852187489604,81.9852474394051,0,749.999783822491,-749.999783822491
0.0012,1499.99971042006,85.4790265689861,146.79439342631,85.4790265689861,0,749.999855210029,-749.999855210029
0.00125,1499.99988152963,88.9669875831274,152.721761930756,88.9669875831274,0,749.999940764815,-749.999940764815
0.0013,1500.00008265288,92.449140170612,158.634329845793,92.449140170612,0,750.000041326441,-750.000041326441
0.00135,1500.00031545311,95.925494004088,164.532133910518,95.925494004088,0,750.000157726553,-750.000157726553
0.0014,1500.00058157776,99.3960587400962,170.415210760645,99.3960587400962,0,750.000290788882,-750.000290788882
0.00145,1500.00088265854,102.860844019096,176.283596928867,102.860844019096,0,750.000441329272,-750.000441329272
0.0015,1500.00122031141,106.319859465494,182.137328845217,106.319859465494,0,750.000610155705,-750.000610155705
0.00155,1500.00159613666,109.773114687669,187.976442837437,109.773114687669,0,750.000798068331,-750.000798068331
0.0016,1500.00201171899,113.220619277997,193.80097513133,113.220619277997,0,750.001005859496,-750.001005859496
0.00165,1500.00246862754,116.662382812883,199.610961851126,116.662382812883,0,750.001234313771,-750.001234313771
0.0017,1500.00296841596,120.098414852784,205.406439019838,120.098414852784,0,750.001484207978,-750.001484207978
0.00175,1500.00351262244,123.528724942234,211.187442559618,123.528724942234,0,750.00175631122,-750.00175631122
0.0018,1500.00410276982,126.953322609877,216.954008292114,126.953322609877,0,750.002051384908,-750.002051384908
0.00185,1500.00474036558,130.372217368484,222.706171938824,130.372217368484,0,750.002370182792,-750.002370182792
0.0019,1500.00542690197,133.785418714988,228.443969121451,133.785418714988,0,750.002713450984,-750.002713450984
0.00195,1500.00616385598,137.192936130506,234.167435362252,137.192936130506,0,750.003081927992,-750.003081927992
0.002,1500.00695268949,140.594779080366,239.876606084391,140.594779080366,0,750.003476344743,-750.003476344743
0.00205,1500.00779484924,143.990957014135,245.571516612286,143.990957014135,0,750.003897424619,-750.003897424619
0.0021,1500.00869176695,147.381479365642,251.252202171962,147.381479365642,0,750.004345883475,-750.004345883475
0.00215,1500.00964485935,150.766355553007,256.918697891392,150.766355553007,0,750.004822429676,-750.004822429676
0.0022,1500.01065552824,154.145594978665,262.571038800849,154.145594978665,0,750.005327764122,-750.005327764122
0.00225,1500.01172516055,157.519207029396,268.209259833245,157.519207029396,0,750.005862580277,-750.005862580277
0.0023,1500.01285512839,160.887201076346,273.83339582448,160.887201076346,0,750.006427564196,-750.006427564196
0.00235,1500.01404678911,164.249586475057,279.443481513777,164.249586475057,0,750.007023394557,-750.007023394557
0.0024,1500.01530148537,167.606372565489,285.039551544032,167.606372565489,0,750.007650742686,-750.007650742686
0.00245,1500.01662054517,170.957568672051,290.621640462146,170.957568672051,0,750.008310272586,-750.008310272586
0.0025,1500.01800528193,174.303184103623,296.189782719368,174.303184103623,0,750.009002640967,-750.009002640967
0.00255,1500.01945699455,177.643228153584,301.744012671628,177.643228153584,0,750.009728497276,-750.009728497276
0.0026,1500.02097696744,180.977710099835,307.28436457988,180.977710099835,0,750.010488483722,-750.010488483722
0.00265,1500.02256647061,184.306639204829,312.810872610429,184.306639204829,0,750.011283235305,-750.011283235305
0.0027,1500.02422675969,187.630024715592,318.323570835273,187.630024715592,0,750.012113379847,-750.012113379847
0.00275,1500.02595907604,190.947875863755,323.822493232427,190.947875863755,0,750.012979538021,-750.012979538021
0.0028,1500.02776464675,194.260201865572,329.307673686261,194.260201865572,0,750.013882323376,-750.013882323376
0.00285,1500.02964468474,197.56701192195,334.779145987826,197.56701192195,0,750.014822342369,-750.014822342369
0.0029,1500.03160038878,200.868315218475,340.236943835187,200.868315218475,0,750.015800194391,-750.015800194391
0.00295,1500.0336329436,204.164120925437,345.681100833746,204.164120925437,0,750.0168164718,-750.0168164718
0.003,1500.03574351989,207.454438197854,351.111650496572,207.454438197854,0,750.017871759943,-750.017871759943
0.00305,1500.03793327439,210.739276175497,356.528626244725,210.739276175497,0,750.018966637193,-750.018966637193
0.0031,1500.04020334994,214.018643982918,361.932061407581,214.018643982918,0,750.020101674971,-750.020101674971
0.00315,1500.04255487555,217.292550729475,367.321989223154,217.292550729475,0,750.021277437777,-750.021277437777
0.0032,1500.04498896644,220.561005509356,372.698442838419,220.561005509356,0,750.022494483219,-750.022494483219
0.00325,1500.04750672409,223.824017401603,378.061455309632,223.824017401603,0,750.023753362044,-750.023753362044
0.0033,1500.05010923632,227.081595470141,383.41105960265,227.081595470141,0,750.02505461816,-750.02505461816
0.00335,1500.05279757735,230.333748763799,388.747288593248,230.333748763799,0,750.026398788673,-750.026398788673
0.0034,1500.05557280782,233.580486316339,394.070175067439,233.580486316339,0,750.027786403911,-750.027786403911
0.00345,1500.05843597491,236.821817146479,399.379751721787,236.821817146479,0,750.029217987453,-750.029217987453
0.0035,1500.06138811232,240.057750257916,404.676051163723,240.057750257916,0,750.030694056159,-750.030694056159
0.00355,1500.0644302404,243.288294639357,409.95910591186,243.288294639357,0,750.032215120199,-750.032215120199
0.0036,1500.06756336616,246.513459264538,415.228948396304,246.513459264538,0,750.033781683081,-750.033781683081
0.00365,1500.07078848336,249.733253092251,420.485610958966,249.733253092251,0,750.035394241679,-750.035394241679
0.0037,1500.07410657253,252.947685066371,425.729125853872,252.947685066371,0,750.037053286265,-750.037053286265
0.00375,1500.07751860107,256.156764115876,430.959525247472,256.156764115876,0,750.038759300533,-750.038759300533
0.0038,1500.08102552326,259.360499154878,436.176841218948,259.360499154878,0,750.040512761631,-750.040512761631
